iter	Passed	Remaining
398	115493	173964
399	115791	173686
400	116104	173432
401	116404	173158
402	116654	172811
403	116913	172475
404	117262	172274
405	117583	172030
406	117879	171751
407	118167	171458
408	118478	171199
409	118794	170948
410	119060	170624
411	119368	170360
412	119651	170061
413	119941	169772
414	120260	169523
415	120550	169234
416	120862	168975
417	121148	168680
418	121435	168387
419	121707	168072
420	122019	167813
421	122318	167536
422	122621	167263
423	122914	166977
424	123194	166674
425	123509	166418
426	123832	166173
427	124163	165937
428	124423	165608
429	124669	165259
430	124959	164970
431	125256	164689
432	125538	164388
433	125869	164152
434	126180	163889
435	126546	163698
436	126838	163409
437	127136	163129
438	127420	162831
439	127722	162555
440	128049	162312
441	128379	162072
442	128699	161818
443	129019	161564
444	129327	161295
445	129645	161039
446	129961	160780
447	130253	160491
448	130565	160225
449	130854	159933
450	131160	159660
451	131556	159497
452	131891	159259
453	132163	158945
454	132440	158637
455	132743	158360
456	133025	158059
457	133342	157798
458	133676	157557
459	133964	157262
460	134250	156965
461	134568	156704
462	134826	156375
463	135124	156092
464	135425	155812
465	135691	155492
466	135983	155202
467	136292	154930
468	136574	154629
469	136822	154289
470	137146	154034
471	137484	153796
472	137770	153498
473	138069	153216
474	138371	152936
475	138712	152700
476	139007	152412
477	139324	152149
478	139576	151815
479	139859	151513
480	140158	151231
481	140456	150946
482	140755	150664
483	141042	150367
484	141337	150080
485	141615	149774
486	141936	149514
487	142206	149199
488	142483	148893
489	142756	148583
490	143069	148313
491	143350	148012
492	143644	147723
493	143946	147442
494	144254	147168
495	144554	146885
496	144853	146602
497	145124	146290
498	145428	146010
499	145750	145750
500	146046	145463
501	146322	145156
502	146640	144891
503	146953	144620
504	147228	144313
505	147501	144003
506	147816	143735
507	148115	143450
508	148404	143156
509	148715	142883
510	149000	142585
511	149297	142298
512	149620	142037
513	149883	141718
514	150151	141405
515	150471	141139
516	150733	140820
517	151035	140538
518	151337	140256
519	151661	139994
520	151951	139702
521	152283	139447
522	152577	139157
523	152863	138860
524	153139	138554
525	153437	138268
526	153711	137961
527	153982	137650
528	154301	137384
529	154593	137092
530	154844	136765
531	155148	136483
532	155482	136229
533	155815	135973
534	156189	135753
535	156549	135520
536	156863	135247
537	157159	134958
538	157476	134687
539	157756	134385
540	158011	134061
541	158320	133783
542	158590	133473
543	158880	133178
544	159171	132886
545	159481	132609
546	159802	132341
547	160087	132042
548	160400	131768
549	160670	131457
550	160972	131173
551	161254	130872
552	161594	130619
553	161894	130333
554	162188	130043
555	162497	129764
556	162820	129496
557	163113	129204
558	163380	128891
559	163648	128581
560	163909	128264
561	164223	127989
562	164495	127681
563	164806	127403
564	165120	127128
