iter	TotalF1:average=Macro	MultiClass
237	0.5293908611	0.9410129473
238	0.529392322	0.9409771019
239	0.5293721527	0.9409072397
240	0.5294493925	0.9408327947
241	0.5296577555	0.9407910901
242	0.5296239201	0.9406845331
243	0.5297264604	0.9406035958
244	0.5297964485	0.9405430048
245	0.5298489823	0.9404901309
246	0.5300898569	0.9404585366
247	0.5299485568	0.9404235175
248	0.5299751433	0.9403661764
249	0.5300601267	0.9403214454
250	0.5301038318	0.9402648053
251	0.5301167219	0.9402218001
252	0.530069049	0.9401416074
253	0.5301778324	0.9400863057
254	0.5303032989	0.9400116492
255	0.5302128763	0.9399588562
256	0.5304393251	0.9399171073
257	0.530641493	0.9398543945
258	0.5305597465	0.9397451598
259	0.5307117019	0.9396924233
260	0.5308116042	0.9396272065
261	0.5307638696	0.9395343482
262	0.5308266076	0.9394410091
263	0.5308909998	0.939392173
264	0.5309012676	0.9393072184
265	0.5307802924	0.9392365472
266	0.5309292039	0.9391739834
267	0.5309613179	0.9390941963
268	0.5311212578	0.9390224564
269	0.531125958	0.9389350937
270	0.5311628976	0.9388535102
271	0.5312552306	0.9387531846
272	0.5313432131	0.9386675351
273	0.5315340468	0.9385971961
274	0.5314892024	0.938531943
275	0.5313699345	0.9384416309
276	0.531480316	0.9383670082
277	0.5314816635	0.9383665183
278	0.5315713922	0.9383086854
279	0.5316205283	0.9382438336
280	0.5316733532	0.9381467542
281	0.531655239	0.9380673962
282	0.5316258454	0.9380049211
283	0.5318832318	0.9379338728
284	0.5319584913	0.9378712824
285	0.5320976153	0.9378257894
286	0.5321208256	0.9377317322
287	0.5321456498	0.9376702388
288	0.5320494432	0.9376087171
289	0.5320824017	0.9375584746
290	0.5321309179	0.9374815994
291	0.5322071513	0.9374191202
292	0.5323201475	0.9373430266
293	0.5323131593	0.9373207567
294	0.5323598405	0.9372853903
295	0.5325479299	0.9371774009
296	0.5325303475	0.9370926671
297	0.5326119647	0.9370051522
298	0.532641621	0.9369206068
299	0.5325981727	0.9368467048
300	0.5328874568	0.9367471052
301	0.532885722	0.9366552536
302	0.5329118941	0.9365843979
303	0.5331284411	0.9365054666
304	0.5332308083	0.9364243072
305	0.5333288807	0.9363535977
306	0.5334092447	0.9362922925
307	0.5332838038	0.9362386829
308	0.5335192658	0.9361842365
309	0.5336633038	0.9361225211
310	0.5337168257	0.9360739047
311	0.5337400122	0.9360159519
312	0.5337371104	0.9359443172
313	0.5341269605	0.935864124
314	0.5341801253	0.9357905741
315	0.53405706	0.9357146561
316	0.5339620342	0.9356238397
317	0.5339861233	0.93557518
318	0.5340919924	0.9355044281
319	0.5341893117	0.9354425942
320	0.5343067279	0.9353927783
321	0.5344521438	0.9353137161
322	0.534580505	0.935228182
323	0.5345561752	0.9351931258
324	0.5346462979	0.935147703
325	0.5346945016	0.935094619
326	0.5346111879	0.9350004302
327	0.5346496301	0.9349360671
328	0.5346015336	0.9348589879
329	0.5343983179	0.9348015414
330	0.5344958847	0.9347263901
331	0.5345535263	0.9346577119
332	0.5346092671	0.9345742254
333	0.5347413393	0.9345013371
334	0.5347320586	0.9344228661
335	0.5348711708	0.9343428374
336	0.5348328644	0.9342795096
337	0.534843182	0.934214332
338	0.5349926297	0.934142515
339	0.534979685	0.9340969195
340	0.5350920363	0.9340280394
341	0.5349838864	0.9339551777
342	0.5349652667	0.9339005435
343	0.535086667	0.9338283485
344	0.5350846441	0.9337561869
345	0.5351339923	0.9336829909
346	0.5353737724	0.933630455
347	0.535279238	0.9335684657
348	0.5354338317	0.9334781362
349	0.5355745875	0.9334068271
350	0.5356279416	0.9333275152
351	0.5357415881	0.933301533
352	0.5357625499	0.9332450753
353	0.5358904828	0.9331829949
354	0.5357866125	0.9331142228
355	0.5358276172	0.9330317183
356	0.5359646059	0.9329689123
357	0.5361129938	0.932904085
358	0.5362256519	0.9328440695
359	0.5362960671	0.9328026737
360	0.5362835708	0.9327423233
361	0.5363279299	0.9326853597
362	0.5364501798	0.932646677
363	0.5365419241	0.9325860815
364	0.536615826	0.9325120573
365	0.536696608	0.9324779321
366	0.5367407382	0.9324152933
367	0.5366646088	0.9323588097
368	0.5367301217	0.932307113
369	0.5367338856	0.9322721578
370	0.5368440914	0.9322057447
371	0.5368093363	0.9321420164
372	0.536858601	0.9320800637
373	0.5368532139	0.9320216053
374	0.5370460295	0.9319674182
375	0.537122821	0.9318753518
376	0.5371527689	0.9318009872
377	0.5371343275	0.9317529287
378	0.537089956	0.9316925189
379	0.5370742678	0.9316444526
380	0.5370573403	0.9315956738
381	0.5371705659	0.9315327267
382	0.5372242295	0.9314674434
383	0.5373397737	0.9314016772
384	0.5374325414	0.9313387731
385	0.5373214003	0.9313052009
386	0.5373902912	0.9312571076
387	0.5375459219	0.9311876788
